beta,epoch,step,train_kl_div,train_loss,train_recon_cont,train_recon_label,val_kl_div,val_loss,val_recon_cont,val_recon_label
0.0012235870817676187,20,161,6.757885932922363,1.3463077545166016,0.9964748024940491,0.6831283569335938,,,,
0.0012235870817676187,20,162,7.067764759063721,1.3455836772918701,1.0004937648773193,0.6728838086128235,,,,
0.0012235870817676187,20,163,7.1464972496032715,1.569546103477478,1.2225803136825562,0.6764428019523621,,,,
0.0012235870817676187,20,164,6.8849778175354,1.1915751695632935,0.8428825736045837,0.6805362701416016,,,,
0.0012235870817676187,20,165,6.971170902252197,1.5994035005569458,1.249318242073059,0.6831109523773193,,,,
0.0012235870817676187,20,166,6.769125938415527,1.4430315494537354,1.1025739908218384,0.6643497943878174,,,,
0.0012235870817676187,20,167,8.450803756713867,1.1813374757766724,0.8144941329956055,0.7130059599876404,,,,
0.0012235870817676187,20,167,,,,,7.720301151275635,1.3051220178604126,0.9483476281166077,0.6946560740470886
0.0014779807534068823,21,168,7.83859395980835,1.5612947940826416,1.2241902351379395,0.6510385870933533,,,,
0.0014779807534068823,21,169,7.283204555511475,1.0993045568466187,0.7488603591918945,0.6793595552444458,,,,
0.0014779807534068823,21,170,7.310957431793213,1.3511182069778442,1.0161042213439941,0.6484169960021973,,,,
0.0014779807534068823,21,171,7.62364387512207,1.3891617059707642,1.0399580001831055,0.6758723258972168,,,,
0.0014779807534068823,21,172,8.295105934143066,1.5265132188796997,1.1850565671920776,0.658393383026123,,,,
0.0014779807534068823,21,173,7.1119818687438965,1.158238410949707,0.8189747333526611,0.6575044989585876,,,,
0.0014779807534068823,21,174,7.397887229919434,1.2480593919754028,0.9127038717269897,0.6488432288169861,,,,
0.0014779807534068823,21,175,6.6745076179504395,1.0532304048538208,0.7544281482696533,0.5778748393058777,,,,
0.0014779807534068823,21,175,,,,,8.146876335144043,1.2710009813308716,0.9193479418754578,0.6792240738868713
0.0017555878730490804,22,176,8.376628875732422,1.4416347742080688,1.1012667417526245,0.6513242721557617,,,,
0.0017555878730490804,22,177,7.245397567749023,1.3480409383773804,1.0052833557128906,0.660075306892395,,,,
0.0017555878730490804,22,178,9.70937728881836,1.3379071950912476,1.0083001852035522,0.6251226663589478,,,,
0.0017555878730490804,22,179,7.869001865386963,1.073940634727478,0.7237976789474487,0.6726565361022949,,,,
0.0017555878730490804,22,180,8.150367736816406,1.264793872833252,0.9188851118087769,0.6632002592086792,,,,
0.0017555878730490804,22,181,8.855337142944336,1.345343828201294,1.0234837532043457,0.6126275062561035,,,,
0.0017555878730490804,22,182,8.03031063079834,1.061685562133789,0.7259800434112549,0.6432150602340698,,,,
0.0017555878730490804,22,183,9.531795501708984,1.3455826044082642,1.0362036228179932,0.5852901339530945,,,,
0.0017555878730490804,22,183,,,,,8.954133033752441,1.2674380540847778,0.913615882396698,0.6762051582336426
0.0020561343990266323,23,184,9.2566499710083,1.336781620979309,0.987950325012207,0.6595966815948486,,,,
0.0020561343990266323,23,185,10.417654037475586,1.2655843496322632,0.9377827644348145,0.6127630472183228,,,,
0.0020561343990266323,23,186,8.011295318603516,1.148832082748413,0.8213496208190918,0.6220202445983887,,,,
0.0020561343990266323,23,187,11.91891860961914,1.4056657552719116,1.0694483518600464,0.6234208345413208,,,,
0.0020561343990266323,23,188,12.434962272644043,1.2666248083114624,0.9458541870117188,0.5904052257537842,,,,
0.0020561343990266323,23,189,11.732685089111328,1.132420301437378,0.8169569969177246,0.5826785564422607,,,,
0.0020561343990266323,23,190,9.938325881958008,1.0983152389526367,0.7639428377151489,0.627875804901123,,,,
0.0020561343990266323,23,191,11.982356071472168,1.1407452821731567,0.8266039490699768,0.5790078639984131,,,,
0.0020561343990266323,23,191,,,,,10.468008041381836,1.2413636445999146,0.8924624919891357,0.6547552347183228
0.0023793235886842012,24,192,11.18762493133545,1.1540089845657349,0.8099703192710876,0.6348394155502319,,,,
0.0023793235886842012,24,193,15.028997421264648,1.3186067342758179,0.97542405128479,0.6148476600646973,,,,
0.0023793235886842012,24,194,12.280683517456055,1.1331077814102173,0.7873259782791138,0.6331241130828857,,,,
0.0023793235886842012,24,195,11.75821304321289,1.1017340421676636,0.7591000199317932,0.6293147802352905,,,,
0.0023793235886842012,24,196,31.442546844482422,1.4175536632537842,1.0575125217437744,0.5704584717750549,,,,
0.0023793235886842012,24,197,59.956878662109375,1.2445566654205322,0.7941814661026001,0.6154369115829468,,,,
0.0023793235886842012,24,198,39.97850799560547,1.2827093601226807,0.8987804055213928,0.5776140689849854,,,,
0.0023793235886842012,24,199,9.117472648620605,1.149506688117981,0.7774835228919983,0.7006593346595764,,,,
0.0023793235886842012,24,199,,,,,12.672505378723145,1.2040640115737915,0.8584564328193665,0.6309112310409546
0.002724836813285947,25,200,17.937833786010742,1.0618538856506348,0.7260214686393738,0.5739095211029053,,,,
0.002724836813285947,25,201,48.70269775390625,1.2932054996490479,0.8971651196479797,0.5266668796539307,,,,
0.002724836813285947,25,202,12.61019515991211,1.090867042541504,0.764350414276123,0.5843117237091064,,,,
0.002724836813285947,25,203,16.023021697998047,1.1033730506896973,0.7411503195762634,0.6371250152587891,,,,
0.002724836813285947,25,204,12.904430389404297,0.9908390641212463,0.654076874256134,0.6031994819641113,,,,
0.002724836813285947,25,205,25.15300750732422,1.1320501565933228,0.7942501306533813,0.5385245084762573,,,,
0.002724836813285947,25,206,15.446246147155762,1.169022560119629,0.8449316620826721,0.5640047192573547,,,,
0.002724836813285947,25,207,14.121820449829102,1.0563238859176636,0.7353962063789368,0.5648959279060364,,,,
0.002724836813285947,25,207,,,,,13.843469619750977,1.1636252403259277,0.8311371803283691,0.5895336866378784
0.003092332975938916,26,208,17.266908645629883,1.0807381868362427,0.7482179403305054,0.5582504868507385,,,,
0.003092332975938916,26,209,19.661705017089844,1.1736228466033936,0.8414050340652466,0.5428346395492554,,,,
0.003092332975938916,26,210,14.936656951904297,1.1292061805725098,0.8076664209365845,0.550701379776001,,,,
0.003092332975938916,26,211,14.22375774383545,0.990645706653595,0.6614489555358887,0.5704243183135986,,,,
0.003092332975938916,26,212,16.321014404296875,1.1093562841415405,0.8015470504760742,0.5146785974502563,,,,
0.003092332975938916,26,213,13.013004302978516,1.2990975379943848,0.9617577195167542,0.5941985249519348,,,,
0.003092332975938916,26,214,31.09195327758789,1.3757215738296509,1.0210456848144531,0.5170584917068481,,,,
0.003092332975938916,26,215,37.91956329345703,1.0863142013549805,0.7399312853813171,0.45824605226516724,,,,
0.003092332975938916,26,215,,,,,14.460031509399414,1.1188266277313232,0.7967109680175781,0.5548007488250732
