beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,13,195,1104.1163330078125,0.5809818506240845,0.08252289891242981,0.4984589219093323,,,,
0.0,13,196,1617.1077880859375,0.6627496480941772,0.10558030009269714,0.5571693181991577,,,,
0.0,13,197,1414.4395751953125,0.7136775851249695,0.07927636802196503,0.6344012022018433,,,,
0.0,13,198,1553.087890625,0.7411565184593201,0.07751307636499405,0.6636434197425842,,,,
0.0,13,199,1558.904052734375,0.5582365989685059,0.07949656248092651,0.47874000668525696,,,,
0.0,13,200,1558.2698974609375,0.7573531270027161,0.2464771866798401,0.510875940322876,,,,
0.0,13,201,1217.23291015625,0.7023376226425171,0.18676523864269257,0.5155723690986633,,,,
0.0,13,202,1819.1529541015625,0.6450632810592651,0.14413979649543762,0.5009234547615051,,,,
0.0,13,203,1303.68359375,0.6792261600494385,0.10544754564762115,0.5737786293029785,,,,
0.0,13,204,1263.78466796875,0.762212336063385,0.16047102212905884,0.6017413139343262,,,,
0.0,13,205,1513.428955078125,1.0444992780685425,0.12433432042598724,0.920164942741394,,,,
0.0,13,206,2166.818359375,0.7615302801132202,0.15891340374946594,0.6026169061660767,,,,
0.0,13,207,1361.276611328125,0.7202741503715515,0.09180592000484467,0.6284682154655457,,,,
0.0,13,208,1038.9927978515625,0.5505266189575195,0.07439249753952026,0.47613415122032166,,,,
0.0,13,209,571.9560546875,0.43049004673957825,0.08501717448234558,0.34547287225723267,,,,
0.0,13,209,,,,,1068.57861328125,0.6421388387680054,0.07066351920366287,0.5714753270149231
0.0,14,210,1614.4989013671875,0.5529953241348267,0.08427637070417404,0.468718945980072,,,,
0.0,14,211,1426.423828125,0.7074776887893677,0.04668894410133362,0.6607887148857117,,,,
0.0,14,212,1496.0816650390625,0.5805436372756958,0.05018233880400658,0.5303612947463989,,,,
0.0,14,213,2202.997802734375,0.4984131455421448,0.049113500863313675,0.4492996335029602,,,,
0.0,14,214,1899.830322265625,0.6034489870071411,0.19217881560325623,0.4112701714038849,,,,
0.0,14,215,1188.899658203125,0.47172534465789795,0.039237286895513535,0.4324880540370941,,,,
0.0,14,216,1945.6102294921875,0.7874921560287476,0.056934013962745667,0.7305581569671631,,,,
0.0,14,217,1333.815673828125,0.691937267780304,0.08364075422286987,0.6082965135574341,,,,
0.0,14,218,1625.112060546875,0.8023977279663086,0.10460126399993896,0.6977964639663696,,,,
0.0,14,219,1253.7197265625,0.6148502826690674,0.0548439621925354,0.560006320476532,,,,
0.0,14,220,1736.4891357421875,0.7484372854232788,0.11422500759363174,0.6342122554779053,,,,
0.0,14,221,1559.852294921875,0.5337836742401123,0.1306714415550232,0.4031122028827667,,,,
0.0,14,222,1935.897705078125,0.6520026922225952,0.04694395512342453,0.6050587296485901,,,,
0.0,14,223,2105.1103515625,1.0112849473953247,0.2789206802845001,0.7323642373085022,,,,
0.0,14,224,501.6396484375,0.579153299331665,0.053184572607278824,0.5259687304496765,,,,
0.0,14,224,,,,,1131.9998779296875,0.6199589967727661,0.04260123521089554,0.5773577094078064
0.0,15,225,1236.8248291015625,0.7946539521217346,0.05698859319090843,0.7376653552055359,,,,
0.0,15,226,1639.911865234375,0.44878697395324707,0.04996516928076744,0.39882180094718933,,,,
0.0,15,227,4024.186767578125,1.1307141780853271,0.1683993935585022,0.9623148441314697,,,,
0.0,15,228,1854.7724609375,0.4922584891319275,0.08660478889942169,0.405653715133667,,,,
0.0,15,229,1096.0552978515625,1.05804443359375,0.0989648848772049,0.9590795636177063,,,,
0.0,15,230,2819.092529296875,0.9289840459823608,0.21605229377746582,0.712931752204895,,,,
0.0,15,231,2942.8330078125,0.8894618153572083,0.027414537966251373,0.8620472550392151,,,,
0.0,15,232,1501.58544921875,0.6682199835777283,0.1252598911523819,0.5429601073265076,,,,
0.0,15,233,1595.996826171875,0.5123570561408997,0.07036761939525604,0.4419894218444824,,,,
0.0,15,234,1732.4981689453125,0.5869267582893372,0.057394206523895264,0.5295325517654419,,,,
0.0,15,235,1582.7999267578125,0.8455341458320618,0.17211377620697021,0.6734203696250916,,,,
